name,year,metacritic_rating,reviewer_rating,positivity_ratio,to_beat_main,to_beat_extra,to_beat_completionist,extra_content_length,tags
Blackguards 2,2015.0,74.0,5.0,1.9702702702702704,16.17,22.27,22.5,6.329999999999998,Strategy|Tactical RPG|Adventure|Turn-Based Combat|Strategy RPG|Free to Play|CRPG|Isometric|Tactical|Female Protagonist|RPG|Turn-Based Tactics|Villain Protagonist|Dark Fantasy|Fantasy|Indie|Singleplayer|Choices Matter|Turn-Based Strategy|Turn-Based|Hex Grid
Warlock 2: The Exiled,2014.0,73.0,5.0,2.2527777777777778,18.84,37.6,226.0,207.16,4X|Magic|Turn-Based Strategy|Multiplayer|Strategy|Fantasy|Turn-Based|Hex Grid|Singleplayer|Adventure|RPG
EMERGENCY 4 Deluxe,2018.0,71.0,8.0,14.043478260869565,5.0,7.0,15.0,10.0,Realistic|Classic|Online Co-Op|Mod|Real-Time|Moddable|Strategy|Real Time Tactics|Retro|Multiplayer|RTS|Singleplayer|Co-op|Cult Classic|Simulation
Warhammer Quest,2015.0,55.0,5.0,2.122159090909091,22.06,27.66,38.0,15.94,Zombies|Strategy|Adventure|Games Workshop|Turn-Based Combat|Strategy RPG|Tactical|Psychological Horror|Warhammer 40K|Co-op|Top-Down|RPG|Turn-Based Tactics|Dark Fantasy|Fantasy|Tabletop|Singleplayer|Dungeon Crawler|Turn-Based Strategy|Turn-Based|Board Game
Dungeon Defenders: Awakened,2020.0,74.0,5.0,2.107863604732081,23.75,56.21,300.0,276.25,Magic|Multiplayer|Strategy|Action|Adventure|Class-Based|PvE|Building|Team-Based|Strategy RPG|Action RPG|Character Customization|Tactical|Controller|Co-op|RPG|Early Access|Funny|3D|Survival|Fantasy|Indie|Cartoony|Singleplayer|Colorful|Online Co-Op|Tower Defense|Third Person|Loot|Family Friendly|Stylized
Super Duper Party Pooper,2016.0,40.0,6.0,3.6774193548387095,0.55,1.48,2.14,1.59,Nudity|Story Rich|Rhythm|Funny|Memes|Casual|Strategy|Indie|Psychological Horror|Comedy|Simulation
Concrete Jungle,2015.0,76.0,8.0,7.026666666666666,13.53,15.91,35.8,22.27,Colorful|Puzzle|City Builder|Deckbuilding|Strategy|Indie|Isometric|Card Game|Local Multiplayer|Board Game
Hard West 2,2022.0,77.0,6.0,3.928571428571429,19.94,22.11,25.38,5.439999999999998,Horror|Story Rich|Strategy|Action|Tactical RPG|Combat|Turn-Based Combat|Demons|Isometric|Tactical|Top-Down|Western|RPG|Turn-Based Tactics|Dark Fantasy|Singleplayer|Supernatural|Grid-Based Movement|Turn-Based Strategy|Turn-Based
Spellcaster University,2021.0,73.0,8.0,4.929078014184397,8.39,13.48,29.9,21.51,Magic|Building|Cute|Kickstarter|Crowdfunded|3D|Management|Medieval|Strategy|Indie|Replay Value|Card Game|Fantasy|Simulation|Singleplayer|Economy|Early Access
Driftland: The Magic Revival,2019.0,76.0,6.0,2.8022727272727272,23.66,39.61,41.63,17.970000000000002,Magic|4X|Lore-Rich|Multiplayer|Strategy|Grand Strategy|RTS|Resource Management|Management|City Builder|Real-Time with Pause|Co-op|RPG|Early Access|God Game|Real-Time|Survival|Fantasy|Time Management|Indie|Singleplayer|Simulation|War
Captain Tsubasa: Rise of New Champions,2020.0,75.0,5.0,2.006081081081081,11.96,23.45,50.98,39.02,Football|Story Rich|Multiplayer|Strategy|Action|Fighting|Trading Card Game|Football (Soccer)|Management|Character Customization|Competitive|Co-op|RPG|Funny|Arcade|Casual|Sports|Soccer|Singleplayer|PvP|Online Co-Op|Anime|4 Player Local
Legends of Eisenwald,2015.0,71.0,6.0,3.238805970149253,23.65,38.0,80.0,56.35,Story Rich|Historical|Strategy|Level Editor|Tactical RPG|Adventure|Turn-Based Combat|Atmospheric|Strategy RPG|Character Customization|Tactical|RPG|Early Access|Multiple Endings|Kickstarter|3D|Fantasy|Indie|Singleplayer|Choose Your Own Adventure|Inventory Management|Medieval|Choices Matter|Turn-Based Strategy|Third Person|Turn-Based|Difficult
Dead State: Reanimated,2014.0,70.0,6.0,2.8311897106109325,39.98,92.49,144.28,104.3,Horror|Multiplayer|Zombies|Strategy|Action|Turn-Based Combat|Crowdfunded|Isometric|Tactical|RPG|Early Access|Post-apocalyptic|Kickstarter|Survival Horror|Survival|Indie|Singleplayer|Simulation|Turn-Based Strategy|Turn-Based|Open World|Sandbox
As Far As The Eye,2020.0,70.0,6.0,2.8293650793650795,4.22,8.65,97.0,92.78,4X|Strategy|Resource Management|Colony Sim|Building|Exploration|Management|City Builder|Sandbox|Post-apocalyptic|Crafting|3D|Survival|Fantasy|Tabletop|Indie|Singleplayer|Simulation|Colorful|Turn-Based Strategy|Family Friendly|Hex Grid|Agriculture|Difficult|Economy|Board Game
Reigns: Her Majesty,2017.0,81.0,8.0,5.421052631578948,3.5,10.59,30.57,27.07,Dark Comedy|Life Sim|Medieval|Funny|Choices Matter|Casual|Strategy|Indie|Card Game|Dark Humor|Simulation|Adventure|Female Protagonist|Comedy|Singleplayer|Choose Your Own Adventure
"""Warhammer 40,000: Deathwatch - Enhanced Edition""",2015.0,74.0,5.0,2.220472440944882,15.21,21.0,38.25,23.04,Games Workshop|Turn-Based Strategy|Strategy|Action|Turn-Based|Tactical|Singleplayer|Warhammer 40K|Adventure|RPG
The Magic Circle,2015.0,79.0,8.0,12.153846153846152,3.52,4.46,9.32,5.800000000000001,Satire|Story Rich|First-Person|Exploration|Puzzle|Strategy|Indie|Walking Simulator|Action|Simulation|Adventure|Comedy|Singleplayer|Early Access|Programming
Warlords Battlecry III,2016.0,73.0,8.0,4.7846153846153845,14.9,22.68,35.53,20.630000000000003,Classic|Fantasy|Strategy|RTS|RPG
Railroad Corporation,2019.0,55.0,6.0,2.893687707641196,34.08,56.07,69.43,35.35000000000001,Historical|Multiplayer|Strategy|Grand Strategy|Resource Management|Building|Management|Competitive|Real-Time with Pause|Western|Early Access|Transportation|Sandbox|Classic|Real-Time|Trains|Moddable|Indie|Capitalism|Retro|Singleplayer|Simulation|Realistic|Economy
Ironcast,2015.0,75.0,6.0,3.0185185185185186,8.3,19.25,39.76,31.46,Turn-Based Combat|Steampunk|Puzzle|Casual|Strategy|Indie|Mechs|Turn-Based|Singleplayer|Perma Death|RPG|Match 3
Knights of Honor II: Sovereign,2022.0,76.0,6.0,3.21978021978022,8.82,41.5,90.12,81.30000000000001,4X|Medieval|Historical|Sexual Content|Multiplayer|Strategy|Grand Strategy|RTS|Singleplayer|Simulation|Sandbox
Soldiers: Heroes of World War II,2014.0,77.0,8.0,5.827956989247312,34.3,39.8,52.2,17.900000000000006,Historical|Strategy|World War II|RTS|Co-op|Singleplayer
VoidExpanse,2015.0,59.0,6.0,2.5,21.18,31.86,40.0,18.82,Space|Multiple Endings|RPG|Classic|Atmospheric|Moddable|Multiplayer|Strategy|Indie|Character Customization|Action|Singleplayer|Top-Down|Open World|Simulation|Sandbox|Sci-fi
Crowntakers,2014.0,70.0,6.0,2.8466257668711656,5.71,12.43,28.9,23.19,Turn-Based Combat|Touch-Friendly|Procedural Generation|Medieval|Turn-Based Strategy|Strategy|Indie|Tabletop|Turn-Based|Tactical|Fantasy|Singleplayer|Cartoony|Perma Death|Hex Grid|RPG|Turn-Based Tactics|Board Game
Imagine Earth,2021.0,78.0,8.0,4.161290322580645,15.4,35.73,64.08,48.68,Procedural Generation|Lore-Rich|Space Sim|Strategy|Grand Strategy|RTS|Futuristic|Resource Management|Nature|Colony Sim|Diplomacy|Building|Atmospheric|Crowdfunded|Management|City Builder|Science|Top-Down|Early Access|Sandbox|Relaxing|Post-apocalyptic|Crafting|God Game|3D|Real-Time|Survival|Indie|Capitalism|Singleplayer|Simulation|Space|Time Manipulation|Education|Open World|Economy|Sci-fi
"""Warhammer 40,000: Armageddon""",2014.0,68.0,8.0,4.208333333333333,29.87,47.75,74.03,44.16,Games Workshop|Aliens|War|Turn-Based Strategy|Multiplayer|Strategy|Strategy RPG|Tactical|Turn-Based|Hex Grid|RTS|Warhammer 40K|Replay Value|Singleplayer|Turn-Based Tactics|Sci-fi|Wargame
Embr,2021.0,72.0,8.0,6.6464088397790055,7.2,9.31,30.33,23.13,Co-op Campaign|First-Person|Multiplayer|Strategy|Action|Platformer|Physics|Puzzle|Character Customization|Score Attack|Controller|Co-op|Comedy|FPS|Early Access|Funny|3D|Arcade|Casual|Indie|Cartoony|Replay Value|Shooter|Singleplayer|Simulation|Colorful|Online Co-Op|Stylized
Dungelot: Shattered Lands,2016.0,78.0,6.0,3.3951612903225805,19.41,25.47,33.42,14.010000000000002,Action Roguelike|Puzzle|Dungeon Crawler|Strategy|Indie|Loot|Action|RPG
